,formula,Eform
565,Ba2GaSbTe5,-1.1720431734259251
566,Ba2GaSe4,-1.6999139908035712
546,Ba2HfS4,-2.208330561428571
547,Ba2HgS3,-1.699150297916667
548,Ba2HgS5,-1.4468766143750011
577,Ba2In2S5,-1.582398072175922
578,Ba2In2Se5,-1.515504987089119
579,Ba2InAgS4,-1.519280083229166
580,Ba2InBiS5,-1.520311703796295
581,Ba2InBiSe5,-1.470125419820601
582,Ba2InS4,-1.7243288580952392
583,Ba2InSbSe5,-1.430602192042823
584,Ba2InSbTe5,-1.166283609166665
568,Ba2Mg(TiS3)2,-1.8305892515151498
576,Ba2Mg(VS3)2,-1.6132355781818162
589,Ba2MnS3,-1.86325135340517
590,Ba2MnSe3,-1.772629814160382
591,Ba2MnTe3,-1.460359264655172
592,Ba2MnTeSe2,-1.674919763630867
593,Ba2Mo15Se19,-0.9458135577647581
594,Ba2NaCu3S5,-1.218905568534482
585,Ba2Re6S11,-1.170297625394733
586,Ba2S3,-1.9196869674999992
595,Ba2ScCl7,-2.78660683875
598,Ba2SnS4,-1.703901759999997
599,Ba2SnSe4,-1.633364205625
601,Ba2SnSe5,-1.5117992986523432
602,Ba2SnTe5,-1.236072623541666
603,Ba2Sr(ZrSe3)3,-1.9043674740729162
604,Ba2Sr7I18,-1.927562117037037
616,Ba2SrI6,-2.006729354444444
619,Ba2TiS4,-2.099204554761902
620,Ba2TiVS6,-1.8013986858333322
618,Ba2V(CuS2)3,-1.308857779999999
621,Ba2Y5Cl19,-2.704866088653847
623,Ba2Y7Cl25,-2.6825634525
624,Ba2YAg5S6,-1.240946243095236
625,Ba2YBr7,-2.449319338
633,Ba2YCl7,-2.864741821250001
638,Ba2YCu3S7,-1.318593579423076
639,Ba2YGaSe5,-1.9070232199131931
640,Ba2YGaTe5,-1.523391530648147
646,Ba2YI7,-1.882983252999999
647,Ba2YInSe5,-1.878695495376157
648,Ba2YInTe5,-1.522011588888887
649,Ba2YMgCu3S7,-1.273160211964285
651,Ba2ZnS3,-1.9122406191666652
652,Ba2ZnSe3,-1.834850999505208
653,Ba2ZnTe3,-1.536545329166665
654,Ba2ZrS4,-2.173588482857141
655,Ba3(Br2Cl)2,-2.71620308111111
656,Ba3(CrS3)2,-1.715966274999999
657,Ba3(GaS3)2,-1.792433225454546
658,Ba3(TaS4)2,-1.84273351548717
660,Ba3(YI6)2,-1.8155346735294111
662,Ba3Bi6PbSe13,-1.127531703933424
663,Ba3CaI8,-1.9652747991666661
664,Ba3Cd(SnS4)2,-1.48787850767857
667,Ba3CrS5,-1.7774787713888882
668,Ba3Fe3Se7,-1.3178395720312501
669,Ba3FeS4Br,-1.937811314166666
671,Ba3FeS5,-1.761802130555554
672,Ba3GaS4Br,-2.072455019722222
673,Ba3GaS4Cl,-2.13071918916666
674,Ba3GaSe4Cl,-2.03017518548611
665,Ba3InS4Cl,-2.049425902962962
666,Ba3InSe4Cl,-1.981379334004629
675,Ba3Nb2Se9,-1.5551058852566961
676,Ba3Sb2S7,-1.516091671041666
677,Ba3Sb2Se7,-1.44534273282552
678,Ba3SbI3,-1.779712968571429
683,Ba3Se,-0.596294953085937
684,Ba3Sn2S7,-1.583597970624998
685,Ba3SnS4,-1.880788701874999
686,Ba3SnS5,-1.800842197499999
687,Ba3SrI8,-2.020562539166665
679,Ba3Ta2Se9,-1.576411595947172
681,Ba3Te,-0.648535744166666
682,Ba3TiS5,-2.147024222314816
696,Ba3Y2Br12,-2.394658194117647
700,Ba3Y2Cl12,-2.800219164999999
702,Ba3YI9,-1.8979164755769231
704,Ba3Zr2S7,-2.149402541875
706,Ba3Zr6BeCl18,-2.286920782857142
707,Ba4(NbSe4)3,-1.512003285164474
688,Ba4CoNi3S8,-1.426833935625
689,Ba4Cu11(Te4S)2,-0.8302593907333321
690,Ba4Fe2S4I5,-1.705332292333333
691,Ba4Fe3Se10,-1.33272432079044
692,Ba4Ga2S7,-1.871609945961537
693,Ba4Ga4SnSe12,-1.445290525624999
694,Ba4Ga5AgSe12,-1.3977960660132571
709,Ba4Hf3S10,-2.146369037941175
710,Ba4In2Te2S5,-1.726584959166666
711,Ba4In2Te2Se5,-1.6687477975681082
712,Ba4InAgS6,-1.8003721956944432
713,Ba4LiGa5Se12,-1.4698236290435611
714,Ba4Sb4Se11,-1.306427226488487
715,Ba4Zr3S10,-2.108120482058823
716,Ba5(FeS2)9,-1.210240202343748
717,Ba5(Ga2Se5)2,-1.6149102833388151
718,Ba5(GaS4)2,-1.931844314166665
719,Ba5(GaSe4)2,-1.8328576422499991
720,Ba5(SnS4)2,-1.766364476166666
721,Ba5Fe4S11,-1.469028687874999
722,Ba5Hf4S13,-2.135647569886362
723,Ba5In4Te4S7,-1.536477321291666
724,Ba5Y3Br19,-2.3826408153703698
725,Ba5Y3I19,-1.8159885275925922
726,Ba6(BiSe2)13,-1.094036537131945
727,Ba6Ca11I34,-1.8551958347058821
729,Ba6CaI14,-1.9627077535714281
730,Ba6CdAg2(SnS4)4,-1.4275910639080451
731,Ba6Co25S27,-0.941750174008621
732,Ba6Cu34S27,-0.718488040932835
733,Ba6Fe14Cu11S27,-0.891555477974137
734,Ba6Fe25S27,-0.9071304919396541
735,Ba6Fe8S15,-1.31050921801724
736,Ba6Hf5S16,-2.128523974814813
738,Ba6Mg(TiS5)2,-1.965718738771929
739,Ba6NaCu3Te14,-1.2376389456130261
740,Ba6Nb5S17,-1.742880654553569
741,Ba6Ni25S27,-0.9339025755603451
742,Ba6Sn6Se13,-1.46789847151875
743,Ba6Sn7S20,-1.3475262210606052
744,Ba6Sr11I34,-1.913468252156862
745,Ba6SrI14,-1.955552973333333
747,Ba6YBr15,-2.4691399145454542
748,Ba6YCl15,-2.83077659090909
750,Ba6YI15,-1.936938775113636
751,Ba6Zn(InCl10)2,-2.420263452011494
752,Ba6Zr(Zn3S7)2,-1.721378306111109
753,Ba7(Al3Te8)2,-1.155636869885056
766,Ba7(Fe3S7)2,-1.346851477777776
767,Ba7Ga5AgSe15,-1.5905352678329612
768,Ba7Sn3S13,-1.754651519239129
769,Ba7Sn3Se13,-1.683870600129075
770,Ba7Sn3Te3Se10,-1.6199430202581522
771,Ba8Nb7S24,-1.7361079874358971
